Entity,Year,"Annual average ocean heat content for the 0-2000 meters layer, according to IAP","Annual average ocean heat content for the 0-2000 meters layer, according to NOAA","Annual average ocean heat content for the 0-2000 meters layer, according to MRI/JMA"
World,1955,-10.506033,,-14.032666
World,1956,-10.054033,,-11.862667
World,1957,-10.476033,-10.169267,-13.632667
World,1958,-4.8790336,-8.925266,-9.9626665
World,1959,-7.6050334,-9.579267,-11.782666
World,1960,-6.259033,-6.345267,-9.022667
World,1961,-4.6300335,-5.628267,-7.5226665
World,1962,-2.8160334,-4.9872665,-5.6526666
World,1963,-3.7320333,-6.5632668,-6.2626667
World,1964,-6.877033,-7.3872666,-6.5926666
World,1965,-6.220033,-8.084267,-6.5226665
World,1966,-4.2540336,-9.988267,-5.5426664
World,1967,-4.4330335,-9.925266,-8.222667
World,1968,-6.410033,-9.857266,-10.012667
World,1969,-6.6180334,-8.486267,-9.062667
World,1970,-7.661033,-7.7042665,-7.602667
World,1971,-5.3360333,-6.4932666,-5.2026668
World,1972,-5.1460333,-5.6362667,-5.832667
World,1973,-4.9620333,-4.9532666,-5.3626666
World,1974,-2.1870334,-4.220267,-5.8626666
World,1975,-1.9810333,-2.2642667,-3.1626666
World,1976,-3.4430332,-2.3112667,-4.2226667
World,1977,-2.4920332,-2.0092666,-4.2926664
World,1978,-1.5070333,-0.8102667,-4.182667
World,1979,-2.8400333,-0.79826665,-3.8626666
World,1980,-2.3940334,-2.0422666,-0.5426667
World,1981,-2.3820333,-2.2492666,0.19733334
World,1982,-2.7580333,-1.9392667,-1.9826666
World,1983,-3.6560333,-1.8402667,-2.8326666
World,1984,-4.851033,-1.0762666,-1.5526667
World,1985,-3.3110332,-0.38526666,-0.09266667
World,1986,-0.111033335,-0.14826667,0.12733333
World,1987,0.025966667,0.15673333,-1.7426667
World,1988,-0.41203332,-0.022266667,0.7173333
World,1989,-1.2050333,-0.45426667,0.9673333
World,1990,-1.4650333,-0.34926668,0.94733334
World,1991,1.9839667,2.1697333,2.0373333
World,1992,2.8429666,3.0327334,4.6773334
World,1993,3.5269666,2.9737334,4.917333
World,1994,4.2919664,2.5427334,5.0373335
World,1995,3.3109667,3.6767333,2.1173334
World,1996,6.2379665,4.1667333,5.0973334
World,1997,6.0339665,4.1297336,5.8273335
World,1998,7.8159666,5.3667336,4.357333
World,1999,9.056967,5.3677335,7.567333
World,2000,7.311967,6.4197335,6.1373334
World,2001,8.307966,7.417733,8.187333
World,2002,11.045967,8.614734,11.187333
World,2003,13.551967,9.306733,14.347333
World,2004,13.693967,10.9397335,13.707334
World,2005,14.804967,10.171,14.107333
World,2006,17.057966,12.638,15.497334
World,2007,15.588966,12.394,13.677333
World,2008,16.983967,13.257,15.457334
World,2009,18.539967,13.431,16.877333
World,2010,18.158966,14.537,17.037333
World,2011,19.130966,15.394,18.457333
World,2012,20.414967,16.187,18.717333
World,2013,21.731966,18.65,21.577333
World,2014,22.453966,20.11,22.257334
World,2015,24.631968,22.401,24.187334
World,2016,24.054966,20.799,23.127333
World,2017,26.110966,23.589,26.147333
World,2018,25.426968,24.059,26.827333
World,2019,27.445967,25.436,28.777334
World,2020,29.420967,25.525,29.277334
World,2021,,27.28,
World,2022,,28.192,
World,2023,,29.22,
World,2024,,30.316,